eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
348,02/07/24 10:01,107065359795.0,1.0,Satisfied,180477225.0,11.0,,02/07/24 10:01,111.0
349,02/07/24 10:04,107075946175.0,1.0,Satisfied,28323642.0,11.0,,02/07/24 10:04,111.0
350,02/07/24 10:05,107079276752.0,1.0,Satisfied,41964664.0,11.0,,02/07/24 10:05,111.0
351,02/07/24 10:05,107079276752.0,1.0,Satisfied,41964664.0,11.0,,02/07/24 10:05,111.0
352,02/07/24 10:04,107080697834.0,1.0,Not Satisfied,127140769.0,11.0,,02/07/24 10:04,-456.0
353,02/07/24 10:05,107068055913.0,1.0,Not Satisfied,48089938.0,11.0,,02/07/24 10:05,-789.0
354,02/07/24 10:02,107096352563.0,1.0,Satisfied,10454959.0,11.0,,02/07/24 10:02,1000.0
355,02/07/24 10:02,107062115467.0,1.0,Satisfied,27722192.0,11.0,,02/07/24 10:02,111.0
356,02/07/24 10:02,107062115467.0,1.0,Not Satisfied,27722192.0,11.0,,02/07/24 10:02,-234.0
357,02/07/24 10:01,107099969034.0,1.0,Satisfied,22184192.0,11.0,,02/07/24 10:01,111.0
358,02/07/24 10:06,107091836167.0,1.0,Satisfied,94909022.0,11.0,,02/07/24 10:06,111.0
359,02/07/24 10:01,107065359795.0,1.0,Satisfied,180477225.0,11.0,,02/07/24 10:01,111.0
360,02/07/24 10:06,107092065713.0,1.0,Not Satisfied,29991529.0,11.0,,02/07/24 10:06,-234.0
361,02/07/24 10:06,107095519734.0,1.0,Satisfied,142491242.0,11.0,,02/07/24 10:06,111.0
362,02/07/24 10:06,107095519734.0,1.0,Satisfied,142491242.0,11.0,,02/07/24 10:06,111.0
363,02/07/24 10:06,107060240863.0,1.0,Satisfied,124326731.0,11.0,,02/07/24 10:06,111.0
364,02/07/24 10:06,107080645075.0,1.0,Not Satisfied,82036567.0,11.0,,02/07/24 10:06,-234.0
365,02/07/24 10:06,107095519734.0,1.0,Satisfied,142491242.0,11.0,,02/07/24 10:06,111.0
